iter,reward,lr
1,116,0.029849999999999998
2,54,0.029700749999999998
3,67,0.029552246249999997
4,54,0.029404485018749996
5,121,0.029257462593656247
6,48,0.029111175280687965
7,108,0.028965619404284524
8,63,0.028820791307263102
9,62,0.028676687350726787
10,103,0.028533303913973154
11,64,0.028390637394403288
12,48,0.02824868420743127
13,60,0.028107440786394114
14,54,0.027966903582462142
15,63,0.02782706906454983
16,54,0.027687933719227082
17,54,0.027549494050630948
18,59,0.02741174658037779
19,48,0.027274687847475904
20,48,0.027138314408238523
21,48,0.02700262283619733
22,205,0.026867609722016343
23,67,0.02673327167340626
24,48,0.02659960531503923
25,48,0.026466607288464034
26,48,0.026334274252021714
27,48,0.026202602880761604
28,48,0.026071589866357797
29,120,0.02594123191702601
30,48,0.02581152575744088
31,48,0.025682468128653674
32,48,0.025554055788010406
33,48,0.025426285509070355
34,60,0.025299154081525003
35,65,0.02517265831111738
36,64,0.025046795019561793
37,55,0.024921561044463983
38,60,0.02479695323924166
39,151,0.024672968473045453
40,54,0.024549603630680226
41,48,0.024426855612526825
42,48,0.02430472133446419
43,48,0.02418319772779187
44,64,0.02406228173915291
45,48,0.023941970330457144
46,49,0.023822260478804858
47,112,0.023703149176410834
48,115,0.02358463343052878
49,58,0.023466710263376135
50,52,0.023349376712059253
51,51,0.023232629828498958
52,278,0.023116466679356462
53,163,0.02300088434595968
54,125,0.02288587992422988
55,48,0.022771450524608734
56,67,0.02265759327198569
57,54,0.02254430530562576
58,62,0.02243158377909763
59,119,0.022319425860202143
60,114,0.02220782873090113
61,67,0.022096789587246625
62,165,0.02198630563931039
63,48,0.021876374111113837
64,101,0.021766992240558267
65,54,0.021658157279355474
66,72,0.021549866492958696
67,151,0.021442117160493903
68,54,0.021334906574691434
69,62,0.021228232041817976
70,67,0.021122090881608886
71,109,0.02101648042720084
72,72,0.020911398025064837
73,54,0.020806841034939513
74,66,0.020702806829764817
75,125,0.02059929279561599
76,57,0.020496296331637912
