iter,reward,lr
1,2,0.03
2,4,0.029849999999999998
3,2,0.029700749999999998
4,2,0.029552246249999997
5,4,0.029404485018749996
6,2,0.029257462593656247
7,4,0.029111175280687965
8,7,0.028965619404284524
9,2,0.028820791307263102
10,5,0.028676687350726787
11,2,0.028533303913973154
12,6,0.028390637394403288
13,4,0.02824868420743127
14,8,0.028107440786394114
15,4,0.027966903582462142
16,8,0.02782706906454983
17,12,0.027687933719227082
18,2,0.027549494050630948
19,2,0.02741174658037779
20,2,0.027274687847475904
21,6,0.027138314408238523
22,5,0.02700262283619733
23,4,0.026867609722016343
24,5,0.02673327167340626
25,2,0.02659960531503923
26,4,0.026466607288464034
27,3,0.026334274252021714
28,6,0.026202602880761604
29,14,0.026071589866357797
30,9,0.02594123191702601
31,7,0.02581152575744088
32,2,0.025682468128653674
33,2,0.025554055788010406
34,21,0.025426285509070355
35,10,0.025299154081525003
36,3,0.02517265831111738
37,10,0.025046795019561793
38,6,0.024921561044463983
39,10,0.02479695323924166
40,4,0.024672968473045453
41,4,0.024549603630680226
42,6,0.024426855612526825
43,8,0.02430472133446419
44,8,0.02418319772779187
45,2,0.02406228173915291
46,4,0.023941970330457144
47,4,0.023822260478804858
48,2,0.023703149176410834
49,4,0.02358463343052878
50,2,0.023466710263376135
51,4,0.023349376712059253
52,6,0.023232629828498958
