episode,return,length
1,-10.0,48
2,-15.0,36
3,-15.0,24
4,-15.0,24
5,-15.0,26
6,-14.0,43
7,-5.0,92
8,-15.0,24
9,-15.0,35
10,-15.0,24
11,-9.0,53
12,-15.0,33
13,-15.0,24
14,-10.0,71
15,-9.0,53
16,-15.0,24
17,-4.0,86
18,-10.0,65
19,-15.0,31
20,-15.0,24
21,-14.0,43
22,-9.0,56
23,-15.0,24
24,-15.0,24
25,-15.0,24
26,-15.0,24
27,-15.0,26
28,-15.0,35
29,-10.0,68
30,-15.0,24
31,-15.0,24
32,-15.0,24
33,-15.0,24
34,-15.0,41
35,-15.0,24
36,-15.0,38
37,-15.0,24
38,-15.0,31
39,-9.0,71
40,-15.0,24
41,-15.0,32
42,-15.0,39
43,-15.0,24
44,-15.0,43
45,-9.0,60
46,-15.0,40
47,-10.0,63
48,-15.0,24
49,-15.0,22
50,-15.0,37
51,-10.0,69
52,-15.0,24
53,-15.0,21
54,-15.0,31
55,-15.0,34
56,-15.0,33
57,-15.0,24
58,-15.0,24
59,-15.0,24
60,-9.0,51
61,-15.0,40
62,-9.0,64
63,-10.0,54
64,-15.0,24
65,-15.0,24
66,-10.0,66
67,-15.0,24
68,-15.0,39
69,-15.0,24
70,-15.0,24
71,-15.0,24
72,-9.0,69
73,-15.0,30
74,-15.0,24
75,-15.0,24
76,-15.0,30
77,-15.0,24
78,-15.0,24
79,-15.0,43
80,-5.0,89
81,-10.0,62
82,-15.0,24
83,-15.0,24
84,-15.0,24
85,-15.0,24
86,-10.0,66
87,-10.0,71
88,-15.0,24
89,-9.0,57
90,-15.0,24
91,-10.0,46
92,-15.0,24
93,-15.0,24
94,-10.0,65
95,-15.0,24
96,-10.0,62
97,-10.0,55
98,-9.0,49
99,-15.0,24
100,-15.0,24
101,-15.0,31
102,-14.0,43
103,-15.0,24
104,-15.0,24
105,-10.0,66
106,-15.0,30
107,-15.0,24
108,-10.0,47
109,-15.0,38
110,-15.0,31
111,-15.0,43
112,-15.0,36
113,-15.0,24
114,-9.0,61
115,-10.0,64
116,-10.0,61
117,-15.0,31
118,-10.0,54
119,-9.0,53
120,-3.0,97
121,-15.0,24
122,-15.0,24
123,-15.0,43
124,-15.0,24
125,-15.0,24
126,-15.0,24
127,-10.0,61
128,-15.0,43
129,-10.0,47
130,-9.0,53
131,-15.0,37
132,-15.0,24
133,-15.0,24
134,-10.0,58
135,-15.0,24
136,-10.0,46
137,-9.0,58
138,-15.0,24
139,-4.0,73
140,-10.0,65
141,6.0,145
142,-9.0,64
143,-15.0,24
144,-10.0,56
145,-15.0,24
146,-9.0,71
147,0.0,114
148,-15.0,32
149,-15.0,35
150,-15.0,30
151,-15.0,24
152,-15.0,30
153,-15.0,24
154,-10.0,61
155,-9.0,66
156,-10.0,71
157,-15.0,24
158,-15.0,39
159,-15.0,24
160,-15.0,24
161,-15.0,24
162,-15.0,38
163,-15.0,43
164,-10.0,62
165,-15.0,43
166,-9.0,58
167,-15.0,24
168,-15.0,24
169,-15.0,32
170,-15.0,24
171,-15.0,32
172,-15.0,30
173,-9.0,69
174,-10.0,53
175,-10.0,57
176,-15.0,24
177,-15.0,39
178,-15.0,43
179,-15.0,24
180,-9.0,63
181,-15.0,38
182,-15.0,24
183,-14.0,43
184,-15.0,43
185,-10.0,49
186,-15.0,35
187,-10.0,60
188,-10.0,63
189,-15.0,24
190,-15.0,30
191,-15.0,31
192,-15.0,30
193,-15.0,35
194,-15.0,34
195,-15.0,30
196,-10.0,64
197,-15.0,30
198,-15.0,34
199,-9.0,55
200,-10.0,45
201,-15.0,24
202,-15.0,24
203,-15.0,38
204,-15.0,34
205,-15.0,24
206,-15.0,31
207,-15.0,33
208,-15.0,34
209,-15.0,24
210,-10.0,71
211,-15.0,43
212,-9.0,63
213,-15.0,24
214,-15.0,24
215,-10.0,65
216,-15.0,24
217,-15.0,33
218,-10.0,54
219,-15.0,25
220,-15.0,30
221,-10.0,70
222,-15.0,28
223,-15.0,30
224,-15.0,24
225,-15.0,30
226,-15.0,42
227,-15.0,26
228,-15.0,28
229,-5.0,99
230,-10.0,69
231,-9.0,58
232,-15.0,31
233,-15.0,28
234,-15.0,33
235,-15.0,24
236,-15.0,30
237,-15.0,36
238,-5.0,80
239,-15.0,24
240,-15.0,40
241,-15.0,37
242,-15.0,43
243,-10.0,45
244,-15.0,24
245,-15.0,27
246,-15.0,22
247,-10.0,45
248,-15.0,26
249,-15.0,30
250,-10.0,68
251,-15.0,24
252,-15.0,24
253,-15.0,30
254,-15.0,36
255,-15.0,32
256,-15.0,23
257,-15.0,30
258,-15.0,35
259,-15.0,24
260,-15.0,35
261,-15.0,40
262,-15.0,38
263,-10.0,66
264,-15.0,24
265,-15.0,30
266,-15.0,24
267,-9.0,71
268,-15.0,24
269,-15.0,37
270,-15.0,24
271,-10.0,61
272,-15.0,24
273,-15.0,31
274,-15.0,35
275,-15.0,24
276,-15.0,24
277,-10.0,65
278,-15.0,24
279,-15.0,24
280,-15.0,24
281,-10.0,55
282,-15.0,24
283,-10.0,65
284,-15.0,24
285,-9.0,62
286,-15.0,24
287,-15.0,24
