episode,return,length
0,-10.0,55
1,-15.0,32
2,-15.0,41
3,-15.0,18
4,-15.0,30
5,-15.0,31
6,-9.0,70
7,-15.0,24
8,-15.0,40
9,-15.0,42
10,-10.0,62
11,-15.0,37
12,-15.0,25
13,-15.0,42
14,-15.0,33
15,-9.0,62
16,-15.0,25
17,-15.0,23
18,-15.0,24
19,-15.0,24
20,-15.0,41
21,-15.0,25
22,-15.0,24
23,-15.0,26
24,-15.0,24
25,-10.0,55
26,-15.0,24
27,-15.0,42
28,-15.0,41
29,-10.0,66
30,-9.0,54
31,-15.0,24
32,-15.0,33
33,-15.0,26
34,-10.0,63
35,-15.0,19
36,-15.0,30
37,-15.0,24
38,-15.0,35
39,-15.0,34
40,-15.0,30
41,-15.0,30
42,-15.0,24
43,-15.0,38
44,-15.0,37
45,-15.0,41
46,-15.0,29
47,-9.0,61
48,-15.0,28
49,-15.0,24
50,-15.0,23
51,-15.0,43
52,-15.0,37
53,-14.0,43
54,-15.0,36
55,-15.0,33
56,-15.0,40
57,-15.0,24
58,-15.0,34
59,-15.0,30
60,-15.0,26
61,-15.0,27
62,-10.0,68
63,-15.0,20
64,-15.0,24
65,-15.0,24
66,-9.0,43
67,-15.0,33
68,-15.0,33
69,-15.0,33
70,-9.0,45
71,-15.0,30
72,-15.0,39
73,-10.0,43
74,-15.0,24
75,-9.0,45
76,-15.0,24
77,-15.0,20
78,-15.0,24
79,-15.0,43
80,-15.0,40
81,-15.0,30
82,-15.0,24
83,-5.0,97
84,-15.0,26
85,-15.0,24
86,-15.0,32
87,-15.0,24
88,-15.0,20
89,-9.0,55
90,-15.0,32
91,-15.0,41
92,-15.0,39
93,-15.0,33
94,-10.0,54
95,-15.0,24
96,-15.0,23
97,-15.0,24
98,-15.0,23
99,-15.0,24
100,-15.0,24
101,-15.0,35
102,-15.0,32
103,-15.0,31
104,-15.0,24
105,-9.0,47
106,-15.0,23
107,-15.0,28
108,-15.0,31
109,-15.0,28
110,-15.0,36
111,-15.0,38
112,-15.0,41
113,-15.0,41
114,-15.0,42
115,-15.0,35
116,-15.0,31
117,-15.0,35
118,-10.0,46
119,-15.0,24
120,-15.0,35
121,-15.0,39
122,-15.0,24
123,-10.0,57
124,-15.0,24
125,-15.0,22
126,-15.0,24
127,-15.0,41
128,-15.0,32
129,-15.0,43
130,-15.0,25
131,-15.0,42
132,-15.0,24
133,-15.0,23
134,-15.0,24
135,-15.0,24
136,-15.0,33
137,-15.0,35
138,-10.0,51
139,-9.0,55
140,-15.0,24
141,-15.0,25
142,-15.0,23
143,-15.0,23
144,-15.0,24
145,-15.0,26
146,-15.0,38
147,-15.0,20
148,-15.0,24
149,-15.0,31
150,-15.0,22
151,-9.0,60
152,-15.0,24
153,-15.0,32
154,-15.0,40
155,-15.0,24
156,-15.0,28
157,-15.0,25
158,-15.0,31
159,-15.0,38
160,-15.0,30
161,-15.0,26
162,-9.0,54
163,-15.0,37
164,-10.0,44
165,-15.0,39
166,-14.0,43
167,-15.0,28
168,-14.0,43
169,-15.0,26
170,-9.0,56
171,-15.0,30
172,-15.0,31
173,-10.0,43
174,-9.0,52
175,-10.0,58
176,-10.0,61
177,-15.0,38
178,-15.0,26
179,-15.0,32
180,-15.0,25
181,-15.0,24
182,-15.0,35
183,-15.0,24
184,-15.0,36
185,-10.0,43
186,-15.0,24
187,0.0,123
188,-15.0,34
189,-15.0,28
190,-10.0,45
191,-15.0,30
192,-15.0,33
193,-15.0,30
194,-15.0,40
195,-15.0,34
196,-15.0,36
197,-15.0,43
198,-15.0,36
199,-15.0,32
200,-15.0,37
201,-10.0,44
202,-15.0,28
203,-15.0,29
204,-15.0,24
205,-15.0,25
206,-15.0,24
207,-15.0,25
208,-15.0,27
209,-15.0,22
210,-15.0,29
211,-10.0,60
212,-15.0,29
213,-15.0,35
214,-14.0,42
215,-15.0,41
216,-15.0,24
217,-15.0,42
218,-15.0,35
219,-10.0,43
220,-9.0,49
221,-15.0,43
222,-15.0,24
223,-15.0,37
224,-15.0,32
225,-15.0,42
226,-15.0,26
227,-15.0,29
228,-10.0,54
229,-15.0,34
230,-15.0,27
231,-15.0,32
232,-15.0,24
233,-10.0,46
234,-15.0,24
235,-15.0,31
236,-15.0,24
237,-15.0,24
238,-10.0,50
239,-15.0,25
240,-15.0,24
241,-5.0,81
242,-15.0,43
243,-15.0,32
244,-15.0,31
245,-15.0,43
246,-15.0,24
247,-15.0,31
248,-15.0,25
249,-15.0,37
250,-15.0,37
251,-15.0,23
252,-15.0,40
253,-15.0,24
254,-15.0,29
255,-15.0,24
256,-15.0,24
257,-15.0,43
258,-10.0,60
259,-15.0,30
260,-14.0,43
261,-10.0,69
262,-15.0,25
263,-15.0,37
264,-10.0,65
265,-15.0,24
266,-15.0,35
267,-15.0,30
268,-15.0,19
269,-10.0,65
270,-15.0,24
271,-15.0,24
272,-15.0,43
273,-15.0,24
274,-15.0,24
275,-15.0,23
276,-15.0,31
277,-15.0,31
278,-15.0,32
279,-9.0,47
280,-15.0,34
281,-15.0,30
282,-10.0,55
283,-15.0,40
284,-15.0,32
285,-15.0,32
286,-5.0,71
287,-15.0,25
288,-15.0,26
289,-15.0,34
290,1.0,101
291,-15.0,32
292,-15.0,36
293,-15.0,24
294,-15.0,43
295,-15.0,40
296,-15.0,24
297,-15.0,40
298,-15.0,24
299,-15.0,33
300,-15.0,43
301,-15.0,24
302,-10.0,54
303,-15.0,22
304,-15.0,43
305,-15.0,24
306,-15.0,39
307,-10.0,65
308,-15.0,24
309,-15.0,43
310,-9.0,48
311,-14.0,40
312,-15.0,26
313,-15.0,40
314,-10.0,64
315,-15.0,40
316,-15.0,40
317,-10.0,70
318,-10.0,52
319,-15.0,24
320,-15.0,24
321,-9.0,62
322,-15.0,43
323,-4.0,99
324,-15.0,43
325,-10.0,45
326,-10.0,62
327,-14.0,43
328,-15.0,35
329,-10.0,53
330,-10.0,51
331,-10.0,66
332,-10.0,52
333,-14.0,43
334,-9.0,66
335,-9.0,60
336,-15.0,43
337,-15.0,39
338,-10.0,44
339,-10.0,58
340,-15.0,43
341,-15.0,24
342,-10.0,56
343,-15.0,43
344,-15.0,43
345,-15.0,24
346,-14.0,43
347,-10.0,67
348,-15.0,24
349,-10.0,71
350,1.0,112
351,-15.0,43
352,-10.0,62
353,-10.0,46
354,-15.0,30
355,-15.0,39
356,0.0,125
357,-10.0,66
358,-15.0,43
359,-10.0,67
360,-15.0,43
361,-14.0,43
362,1.0,122
363,-14.0,43
364,-10.0,71
365,-10.0,55
366,-15.0,39
367,-5.0,71
368,-15.0,35
369,5.0,154
370,-15.0,39
371,-4.0,99
372,0.0,127
373,-15.0,43
374,5.0,154
375,-9.0,71
376,-15.0,43
377,17.0,208
378,-15.0,43
379,-14.0,43
380,-15.0,43
381,-14.0,43
382,-15.0,43
383,-10.0,71
384,0.0,127
385,-9.0,53
386,12.0,181
387,0.0,127
388,-5.0,99
389,-10.0,71
390,-15.0,20
391,10.0,174
392,-9.0,71
393,-15.0,43
394,21.0,220
395,-15.0,43
396,-5.0,99
397,-15.0,43
398,-10.0,71
399,-10.0,71
400,-5.0,99
401,17.0,203
402,-10.0,71
403,-15.0,20
404,-15.0,20
405,-15.0,16
406,-15.0,18
407,-15.0,18
408,-15.0,18
409,-15.0,20
410,-15.0,43
411,-15.0,26
412,-15.0,19
413,5.0,154
414,-15.0,43
415,-15.0,22
416,-15.0,43
417,-4.0,84
418,-15.0,42
419,-14.0,43
420,-10.0,71
421,-15.0,17
422,-5.0,89
423,-15.0,18
424,-5.0,99
425,-15.0,17
426,-10.0,55
427,-15.0,19
428,-15.0,16
429,-5.0,79
430,3.0,127
431,11.0,181
432,-15.0,17
433,-15.0,17
434,-15.0,17
435,0.0,127
436,-15.0,17
437,-15.0,43
438,-15.0,31
439,-10.0,71
440,-15.0,43
441,-10.0,71
442,-9.0,71
443,-15.0,43
444,1.0,115
445,-15.0,18
446,0.0,127
447,-15.0,17
448,6.0,154
449,15.0,208
450,20.0,235
451,-15.0,17
452,-15.0,16
453,1.0,127
454,-15.0,16
455,-15.0,43
456,-15.0,16
457,26.0,262
458,-15.0,43
459,-15.0,18
460,6.0,129
461,-9.0,58
462,-15.0,16
463,21.0,235
464,15.0,208
465,-15.0,43
466,-10.0,71
467,-15.0,16
468,-9.0,71
469,-15.0,43
470,-15.0,43
471,-15.0,16
472,16.0,208
473,1.0,107
474,-5.0,99
475,-15.0,17
476,-5.0,99
477,10.0,181
478,-9.0,71
479,16.0,208
480,-15.0,17
481,-15.0,18
482,15.0,208
483,-15.0,19
484,-9.0,71
485,17.0,208
486,-15.0,18
487,30.0,288
488,-15.0,20
489,-4.0,99
490,-3.0,99
491,-15.0,18
492,-4.0,83
493,-15.0,18
494,-10.0,71
495,20.0,235
496,-8.0,71
497,-2.0,99
498,-14.0,43
499,0.0,127
500,1.0,127
501,-10.0,71
502,-14.0,43
503,-9.0,71
504,21.0,235
505,-15.0,43
506,-15.0,43
507,-15.0,43
508,-15.0,43
509,-15.0,43
510,-15.0,43
511,0.0,127
512,-14.0,43
513,0.0,127
514,-5.0,99
515,-15.0,43
516,25.0,262
517,0.0,127
518,-10.0,71
519,-14.0,43
520,-15.0,43
521,-15.0,43
522,-5.0,99
523,-5.0,99
524,-5.0,99
525,-15.0,43
526,2.0,127
527,5.0,154
528,51.0,392
529,10.0,181
530,-4.0,99
531,25.0,262
532,0.0,127
533,11.0,181
534,26.0,262
535,-9.0,71
536,-10.0,71
537,-15.0,43
538,15.0,208
539,-15.0,43
540,-9.0,71
541,-15.0,43
542,-10.0,71
543,-14.0,43
544,5.0,154
545,-10.0,71
546,-10.0,71
547,-10.0,71
548,7.0,154
549,-15.0,43
550,-3.0,99
551,-5.0,99
552,-15.0,43
553,-5.0,99
554,5.0,154
555,-15.0,43
556,17.0,208
557,0.0,127
558,-15.0,43
559,-5.0,99
560,0.0,127
561,6.0,154
562,0.0,127
563,5.0,154
564,-5.0,99
565,-15.0,43
566,-5.0,99
567,-14.0,43
568,30.0,288
569,-9.0,71
570,12.0,181
571,40.0,341
572,2.0,127
573,0.0,127
574,7.0,154
575,-15.0,43
576,51.0,392
577,10.0,181
578,-15.0,43
579,-9.0,71
580,0.0,127
581,-10.0,71
582,20.0,235
583,-15.0,43
584,-15.0,43
585,-10.0,71
586,-15.0,43
587,5.0,154
588,1.0,127
589,0.0,127
590,45.0,366
591,10.0,181
592,-10.0,71
593,30.0,288
594,-5.0,99
595,-5.0,99
596,-10.0,71
597,0.0,127
598,-5.0,99
599,15.0,208
600,15.0,208
601,25.0,262
602,10.0,181
603,0.0,127
604,-9.0,71
605,13.0,181
606,10.0,181
607,25.0,262
608,-14.0,43
609,5.0,154
610,51.0,392
611,15.0,208
612,20.0,235
613,30.0,288
614,-10.0,71
615,-4.0,99
616,16.0,208
617,1.0,127
618,0.0,127
619,-5.0,99
620,-15.0,43
621,-10.0,71
622,-5.0,99
623,-15.0,43
624,-10.0,71
625,0.0,127
626,30.0,288
627,-4.0,99
628,-5.0,99
629,-10.0,71
630,15.0,208
631,-5.0,99
632,66.0,468
633,7.0,154
634,-3.0,99
635,61.0,443
636,-4.0,99
637,6.0,154
638,20.0,235
639,0.0,127
640,30.0,288
641,1.0,127
642,10.0,181
643,35.0,314
644,-10.0,71
645,30.0,288
646,41.0,341
647,-10.0,53
648,10.0,181
649,-15.0,43
650,11.0,181
651,0.0,127
652,0.0,127
653,30.0,288
654,-4.0,99
655,-15.0,43
656,-10.0,71
657,-8.0,71
658,46.0,366
659,37.0,314
660,-15.0,43
661,-15.0,43
662,0.0,127
663,34.0,288
664,-4.0,99
665,-14.0,43
666,10.0,181
667,0.0,127
668,12.0,181
669,-4.0,99
670,-15.0,43
671,0.0,127
672,-15.0,43
673,15.0,208
