episode,return,length
0,-15.0,19
1,-15.0,25
2,-15.0,18
3,-15.0,18
4,-15.0,20
5,-15.0,16
6,-15.0,16
7,-15.0,16
8,-15.0,23
9,-15.0,18
10,-15.0,18
11,-15.0,19
12,-15.0,22
13,-15.0,21
14,-15.0,16
15,-15.0,16
16,-15.0,18
17,-15.0,19
18,-15.0,20
19,-15.0,17
20,-15.0,19
21,-15.0,21
22,-15.0,31
23,-15.0,15
24,-15.0,18
25,-15.0,17
26,-15.0,24
27,-15.0,18
28,-15.0,21
29,-15.0,18
30,-15.0,18
31,-15.0,26
32,-15.0,18
33,-15.0,19
34,-15.0,17
35,-15.0,17
36,-15.0,17
37,-15.0,20
38,-15.0,21
39,-15.0,16
40,-15.0,24
41,-15.0,19
42,-15.0,23
43,-15.0,18
44,-15.0,19
45,-15.0,17
46,-15.0,21
47,-15.0,19
48,-15.0,21
49,-15.0,24
50,-15.0,21
51,-15.0,19
52,-15.0,19
53,-15.0,17
54,-15.0,26
55,-15.0,17
56,-15.0,28
57,-15.0,25
58,-15.0,18
59,-15.0,22
60,-15.0,16
61,-15.0,16
62,-15.0,25
63,-15.0,18
64,-15.0,19
65,-15.0,19
66,-15.0,16
67,-15.0,17
68,-15.0,19
69,-15.0,17
70,-15.0,22
71,-15.0,21
72,-15.0,21
73,-15.0,17
74,-15.0,16
75,-15.0,20
76,-15.0,28
77,-15.0,27
78,-15.0,19
79,-15.0,20
80,-10.0,63
81,-15.0,16
82,-15.0,20
83,-15.0,16
84,-15.0,17
85,-15.0,18
86,-15.0,24
87,-15.0,16
88,-15.0,18
89,-15.0,20
90,-15.0,26
91,-15.0,24
92,-15.0,22
93,-15.0,16
94,-15.0,17
95,-15.0,19
96,-15.0,22
97,-15.0,27
98,-15.0,20
99,-15.0,20
100,-15.0,16
101,-15.0,31
102,-15.0,22
103,-15.0,18
104,-15.0,18
105,-15.0,17
106,-15.0,18
107,-15.0,21
108,-15.0,18
109,-15.0,19
110,-15.0,28
111,-15.0,21
112,-10.0,56
113,-15.0,15
114,-15.0,16
115,-15.0,17
116,-15.0,21
117,-15.0,25
118,-15.0,20
119,-15.0,16
120,-15.0,20
121,-15.0,18
122,-15.0,18
123,-15.0,19
124,-15.0,19
125,-15.0,17
126,-15.0,16
127,-15.0,19
128,-15.0,18
129,-15.0,16
130,-15.0,24
131,-15.0,15
132,-15.0,15
133,-15.0,32
134,-15.0,22
135,-15.0,20
136,-15.0,20
137,-15.0,41
138,-15.0,21
139,-15.0,17
140,-15.0,23
141,-15.0,26
142,-15.0,26
143,-15.0,27
144,-10.0,61
145,-15.0,19
146,-15.0,18
147,-15.0,29
148,-15.0,19
149,-15.0,33
150,-15.0,17
151,-15.0,18
152,-15.0,17
